"Informazioni cronologiche","Anno di nascita:","Genere in cui ti identifichi:","Ultimo titolo di studio conseguito:","Quante ore al giorno mediamente utilizzi lo smartphone?","Per cosa utilizzi principalmente lo smartphone?","Quante ore al giorno mediamente utilizzi il computer?","Per cosa utilizzi principalmente il computer?","Primo dispositivo digitale utilizzato:","Età dell'utilizzo del primo dispositivo digitale:","Dove hai imparato ad utilizzare il primo dispositivo digitale?","Oggi come ti approcci ad una nuova app/software/dispositivo?","Quanto spesso i tuoi genitori ti chiedono aiuto per utilizzare un dispositivo digitale?","Per quante ore al giorno pensi che i tuoi genitori utilizzino mediamente lo smartphone?","Per cosa pensi che i tuoi genitori utilizzino principalmente i dispositivi digitali?"
"2021/12/01 1:51:41 PM CET","2006-01-12","F","Licenza media;","da 3 a 5 ore;","Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Intrattenimento (Streaming di film, serie tv e/o video, gaming);","1 o 2 ore;","Studio (note taking, consultazione libri e appunti, etc);Streaming di film, serie tv e/o video;","Console (videogiochi);","da 6 a 9 anni;","Ambiente familiare (genitori, fratelli/sorelle maggiori, etc);","Chiedendo a qualcuno;","3","1 o 2 ore;","Lavoro;;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Fotografia;"
"2021/12/01 1:52:12 PM CET","1997-05-25","M","Diploma di scuola superiore;","da 3 a 5 ore;","Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Applicazioni di navigazione (Google Maps, Mappe, Waze, Moovit, etc);;Fotocamera e/o videocamera;;Intrattenimento (Streaming di film, serie tv e/o video, gaming);;Lavoro;","da 6 a 7;","Studio (note taking, consultazione libri e appunti, etc);Lavoro;;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Streaming di film, serie tv e/o video;","Console (videogiochi);","da 6 a 9 anni;","Per imitazione, senza chiedere aiuto;","Approccio diretto e intuitivo;","5","da 3 a 5 ore;","Lavoro;;Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);"
"2021/12/01 2:01:24 PM CET","1993-02-11","F","Laurea triennale;","da 3 a 5 ore;","Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);","più di 7.","Lavoro;;Streaming di film, serie tv e/o video;","Computer;","da 10 a 13 anni;","Ambiente familiare (genitori, fratelli/sorelle maggiori, etc);","Approccio diretto e intuitivo;","4","da 3 a 5 ore;","Lavoro;;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);"
"2021/12/01 2:05:13 PM CET","1997-04-11","F","Diploma di scuola superiore;","da 6 a 7;","Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Applicazioni di navigazione (Google Maps, Mappe, Waze, Moovit, etc);;Fotocamera e/o videocamera;;Intrattenimento (Streaming di film, serie tv e/o video, gaming);;Lavoro;","1 o 2 ore;","Studio (note taking, consultazione libri e appunti, etc);Applicazioni di navigazione (Google Maps, Mappe, Waze, Moovit, etc);;Streaming di film, serie tv e/o video;","Computer;","da 14 a 16 anni;","Ambiente familiare (genitori, fratelli/sorelle maggiori, etc);","Leggendo la documentazione;","2","da 3 a 5 ore;","Lavoro;;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Applicazioni di navigazione (Google Maps, Mappe, Waze, Moovit, etc);"
"2021/12/01 2:13:47 PM CET","1990-01-01","M","Laurea magistrale o laurea a ciclo unico.","più di 7.","Studio;;Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Applicazioni di navigazione (Google Maps, Mappe, Waze, Moovit, etc);;Fotocamera e/o videocamera;;Intrattenimento (Streaming di film, serie tv e/o video, gaming);;Lavoro;","da 6 a 7;","Studio (note taking, consultazione libri e appunti, etc);Lavoro;;Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Streaming di film, serie tv e/o video;","Computer;","da 6 a 9 anni;","Ambiente familiare (genitori, fratelli/sorelle maggiori, etc);","Approccio diretto e intuitivo;","3","più di 7.","Lavoro;;Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Applicazioni di navigazione (Google Maps, Mappe, Waze, Moovit, etc);"
"2021/12/01 2:14:51 PM CET","1996-08-02","F","Laurea magistrale o laurea a ciclo unico.","da 6 a 7;","Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);","1 o 2 ore;","Lavoro;;Streaming di film, serie tv e/o video;","Computer;","da 10 a 13 anni;","Ambiente familiare (genitori, fratelli/sorelle maggiori, etc);","Approccio diretto e intuitivo;","3","da 3 a 5 ore;","Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Applicazioni di navigazione (Google Maps, Mappe, Waze, Moovit, etc);"
"2021/12/01 2:16:33 PM CET","1996-09-16","F","Diploma di scuola superiore;","1 o 2 ore;","Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Applicazioni di navigazione (Google Maps, Mappe, Waze, Moovit, etc);","da 3 a 5 ore;","Studio (note taking, consultazione libri e appunti, etc);Streaming di film, serie tv e/o video;","Computer;","da 6 a 9 anni;","A scuola, con gli insegnanti;","Approccio diretto e intuitivo;","4","da 3 a 5 ore;","Lavoro;;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);"
"2021/12/01 2:17:45 PM CET","1990-01-29","M","Laurea magistrale o laurea a ciclo unico.","da 3 a 5 ore;","Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);","più di 7.","Lavoro;;Streaming di film, serie tv e/o video;","Console (videogiochi);","da 6 a 9 anni;","Ambiente familiare (genitori, fratelli/sorelle maggiori, etc);","Approccio diretto e intuitivo;","2","da 3 a 5 ore;","Social (Facebook, Instagram, YouTube, etc);;Intrattenimento (Streaming di film, serie tv e/o video, gaming, etc);"
"2021/12/01 2:20:49 PM CET","1999-01-01","F","Diploma di scuola superiore;","da 3 a 5 ore;","Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);","1 o 2 ore;","Studio (note taking, consultazione libri e appunti, etc);Streaming di film, serie tv e/o video;","Computer;","da 6 a 9 anni;","A scuola, con gli insegnanti;","Approccio diretto e intuitivo;","1","1 o 2 ore;","Lavoro;"
"2021/12/01 2:34:30 PM CET","1986-07-23","F","Laurea triennale;","più di 7.","Studio;;Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Applicazioni di navigazione (Google Maps, Mappe, Waze, Moovit, etc);;Fotocamera e/o videocamera;;Intrattenimento (Streaming di film, serie tv e/o video, gaming);","più di 7.","Studio (note taking, consultazione libri e appunti, etc);Lavoro;;Social (Facebook, Instagram, YouTube, etc);;Applicazioni di navigazione (Google Maps, Mappe, Waze, Moovit, etc);;Aggiornamento personale sitoweb","Computer;","da 17 a 20 anni;","A scuola, con gli insegnanti;","Leggendo la documentazione;","5","1 o 2 ore;","Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Applicazioni di navigazione (Google Maps, Mappe, Waze, Moovit, etc);;Fotografia;"
"2021/12/01 2:38:21 PM CET","1995-04-14","F","Laurea magistrale o laurea a ciclo unico.","1 o 2 ore;","Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Intrattenimento (Streaming di film, serie tv e/o video, gaming);","da 3 a 5 ore;","Lavoro;","Computer;","da 6 a 9 anni;","Ambiente familiare (genitori, fratelli/sorelle maggiori, etc);","Approccio diretto e intuitivo;","3","1 o 2 ore;","Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);"
"2021/12/01 2:38:48 PM CET","1996-02-23","M","Diploma di scuola superiore;","da 3 a 5 ore;","Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Lavoro;","da 3 a 5 ore;","Lavoro;;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);","Computer;","da 6 a 9 anni;","Per imitazione, senza chiedere aiuto;","Approccio diretto e intuitivo;","3","1 o 2 ore;","Lavoro;;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Fotografia;"
"2021/12/01 2:40:10 PM CET","1997-12-30","M","Laurea triennale;","da 3 a 5 ore;","Studio;;Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Applicazioni di navigazione (Google Maps, Mappe, Waze, Moovit, etc);","1 o 2 ore;","Studio (note taking, consultazione libri e appunti, etc);Streaming di film, serie tv e/o video;","Computer;","da 6 a 9 anni;","Ambiente familiare (genitori, fratelli/sorelle maggiori, etc);","Guardando un tutorial online;","3","1 o 2 ore;","Lavoro;;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);"
"2021/12/01 2:42:04 PM CET","1981-08-31","M","Diploma di scuola superiore;","1 o 2 ore;","Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Applicazioni di navigazione (Google Maps, Mappe, Waze, Moovit, etc);;Intrattenimento (Streaming di film, serie tv e/o video, gaming);","1 o 2 ore;","Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Streaming di film, serie tv e/o video;","Smartphone;","da 14 a 16 anni;","Approccio diretto e intuitivo;","Approccio diretto e intuitivo;","4","1 o 2 ore;","Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Fotografia;"
"2021/12/01 2:43:54 PM CET","1997-01-24","M","Laurea triennale;","da 3 a 5 ore;","Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Applicazioni di navigazione (Google Maps, Mappe, Waze, Moovit, etc);;Intrattenimento (Streaming di film, serie tv e/o video, gaming);;Lavoro;","da 3 a 5 ore;","Lavoro;","Computer;","da 6 a 9 anni;","A scuola, con gli insegnanti;","Approccio diretto e intuitivo;","4","1 o 2 ore;","Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);"
"2021/12/01 2:46:14 PM CET","2001-04-09","M","Diploma di scuola superiore;","da 3 a 5 ore;","Studio;;Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Applicazioni di navigazione (Google Maps, Mappe, Waze, Moovit, etc);","1 o 2 ore;","Studio (note taking, consultazione libri e appunti, etc);Lavoro;","Tablet;","< 6 anni;","Approccio diretto e intuitivo;","Leggendo la documentazione;","3","da 3 a 5 ore;","Lavoro;;Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Intrattenimento (Streaming di film, serie tv e/o video, gaming, etc);;Fotografia;"
